id,neighborhood,price,latitude,longitude
360,Highland,$140.00 ,39.76703,-105.00256
590,North Park Hill,$61.00 ,39.75361,-104.91237
592,North Park Hill,$44.00 ,39.75438,-104.91156
1940,Baker,$95.00 ,39.71981,-104.99649
2086,Hale,$76.00 ,39.73996,-104.93173
31503,West Highland,$110.00 ,39.76216,-105.02866
39405,Highland,$111.00 ,39.76588,-105.00545
56185,North Park Hill,$300.00 ,39.75322,-104.93335
59631,Five Points,$179.00 ,39.74947,-104.97611
74125,Capitol Hill,$130.00 ,39.73276,-104.98035
81540,Overland,$75.00 ,39.66787,-104.98969
90307,South Park Hill,$90.00 ,39.74955,-104.93239
98008,Five Points,$70.00 ,39.74927,-104.97482
98014,Five Points,$60.00 ,39.74865,-104.97522
142683,City Park,$125.00 ,39.74145,-104.94845
172196,Washington Park,$411.00 ,39.69688,-104.96232
184529,West Highland,$35.00 ,39.76716,-105.0435
192430,South Park Hill,$32.00 ,39.7416,-104.93613
217996,Highland,$66.00 ,39.75706,-105.01022
236207,Union Station,$235.00 ,39.75475,-105.00533
283162,Union Station,"$3,800.00 ",39.75035,-104.99624
364585,Washington Park West,$205.00 ,39.69859,-104.9813
370209,Baker,$70.00 ,39.71816,-104.9962
477016,City Park West,$55.00 ,39.7413,-104.96934
521072,City Park West,$110.00 ,39.74428,-104.96285
548897,City Park,$60.00 ,39.74065,-104.95846
575758,Five Points,$200.00 ,39.76746,-104.97948
629194,Berkeley,$85.00 ,39.77068,-105.03456
632709,Highland,$129.00 ,39.76659,-105.00957
662390,Platt Park,$65.00 ,39.68304,-104.98302
662431,Washington Park,$109.00 ,39.70418,-104.96721
665622,Highland,$120.00 ,39.76091,-105.01205
676825,Stapleton,$199.00 ,39.75663,-104.88423
678602,Jefferson Park,$98.00 ,39.75146,-105.02246
732845,Five Points,$299.00 ,39.75916,-104.98068
746298,Lowry Field,$55.00 ,39.72345,-104.89731
747085,Highland,$199.00 ,39.76821,-105.00076
756594,South Park Hill,$78.00 ,39.74156,-104.91633
760023,City Park West,$65.00 ,39.74979,-104.96447
761858,South Park Hill,$170.00 ,39.75006,-104.93265
769437,Baker,$75.00 ,39.71661,-104.99618
774712,City Park West,$66.00 ,39.74128,-104.96761
776434,Platt Park,$220.00 ,39.68389,-104.98076
785140,Sunnyside,$57.00 ,39.77989,-105.01581
787456,Congress Park,$74.00 ,39.73433,-104.95666
823343,Washington Park West,$300.00 ,39.70169,-104.98266
833937,Five Points,$125.00 ,39.75525,-104.97745
834896,City Park West,$86.00 ,39.74965,-104.96088
852934,Goldsmith,$74.00 ,39.67548,-104.92997
861993,Sloan Lake,$95.00 ,39.7494,-105.03548
866145,Baker,$65.00 ,39.72515,-104.99727
875596,Barnum,$128.00 ,39.71703,-105.03896
915016,Capitol Hill,$95.00 ,39.73417,-104.97614
921485,Highland,$129.00 ,39.75893,-105.01637
923994,Congress Park,$295.00 ,39.73729,-104.95013
934259,Jefferson Park,$60.00 ,39.75623,-105.01757
937952,Speer,$99.00 ,39.72096,-104.98114
953052,Congress Park,$110.00 ,39.7322,-104.94899
958612,CBD,$95.00 ,39.74531,-104.9961
978943,Mar Lee,$125.00 ,39.68953,-105.0411
1004131,Stapleton,$115.00 ,39.76001,-104.86888
1035821,Five Points,$199.00 ,39.75575,-104.97661
1041934,Berkeley,$215.00 ,39.78185,-105.03972
1042331,Berkeley,$140.00 ,39.78166,-105.03975
1069351,Sunnyside,$85.00 ,39.7738,-105.00937
1074386,Lincoln Park,$175.00 ,39.72771,-104.99788
1082572,Baker,$130.00 ,39.71284,-104.99194
1087609,Capitol Hill,$120.00 ,39.73486,-104.98561
1106479,Five Points,$75.00 ,39.7494,-104.97469
1127235,West Highland,$254.00 ,39.76013,-105.03131
1143676,City Park,$99.00 ,39.74777,-104.95886
1145324,Speer,$48.00 ,39.71302,-104.97512
1153002,Cole,$132.00 ,39.76804,-104.97044
1189999,West Highland,$110.00 ,39.7675,-105.04356
1223593,Cheesman Park,$68.00 ,39.73684,-104.96974
1223612,Cheesman Park,$62.00 ,39.73206,-104.96918
1243170,Cole,$47.00 ,39.76803,-104.96903
1309117,Speer,$51.00 ,39.71245,-104.97529
1309159,Capitol Hill,$199.00 ,39.73429,-104.98352
1313699,University,$275.00 ,39.68363,-104.97227
1327856,Capitol Hill,$228.00 ,39.73371,-104.98164
1363517,Highland,$90.00 ,39.76556,-105.02152
1402409,West Colfax,$235.00 ,39.73845,-105.03883
1451057,Sunnyside,$70.00 ,39.77565,-105.02397
1454673,Congress Park,$102.00 ,39.73439,-104.95807
1456614,University,$62.00 ,39.67392,-104.97212
1488774,Five Points,$175.00 ,39.75759,-104.9793
1557739,Cole,$60.00 ,39.76324,-104.97143
1581384,West Highland,$119.00 ,39.76794,-105.05151
1583103,Speer,$150.00 ,39.71954,-104.98346
1594161,West Colfax,$90.00 ,39.73926,-105.04679
1600633,North Capitol Hill,$96.00 ,39.74537,-104.98472
1619409,West Colfax,$160.00 ,39.73845,-105.04535
1622963,Highland,$150.00 ,39.76579,-105.01655
1629445,Cheesman Park,$94.00 ,39.73559,-104.96109
1637744,South Park Hill,$60.00 ,39.74252,-104.90985
1641476,Sloan Lake,$175.00 ,39.75276,-105.05175
1724186,Cole,$78.00 ,39.76494,-104.97211
1733052,Cheesman Park,$75.00 ,39.73871,-104.97073
1737365,Highland,$129.00 ,39.75878,-105.01353
1785877,Cheesman Park,$56.00 ,39.73705,-104.96834
1792152,Congress Park,$78.00 ,39.73404,-104.94654
1891877,Berkeley,$50.00 ,39.77317,-105.02828
1900638,University,$30.00 ,39.66697,-104.96458
1901266,University,$28.00 ,39.66793,-104.96606
1905596,Berkeley,$125.00 ,39.78125,-105.03799
1911814,Sunnyside,$99.00 ,39.77194,-105.02478
1915301,Sunnyside,$201.00 ,39.7693,-105.01046
1955800,CBD,$225.00 ,39.74505,-104.99459
1959836,Clayton,$39.00 ,39.76493,-104.95783
1959918,Lincoln Park,$125.00 ,39.73648,-105.0008
1966103,Platt Park,$145.00 ,39.67953,-104.98035
1975775,Whittier,$135.00 ,39.76005,-104.96649
2061222,Montclair,$95.00 ,39.73961,-104.91956
2072132,Cole,$75.00 ,39.76425,-104.9712
2104774,City Park West,$65.00 ,39.74153,-104.96733
2119667,Lincoln Park,$166.00 ,39.7341,-105.00069
2139342,Hilltop,$85.00 ,39.72061,-104.91187
2146050,Baker,$90.00 ,39.71627,-104.98914
2175370,University,$29.00 ,39.66636,-104.96569
2216969,Hilltop,$60.00 ,39.72202,-104.91177
2226979,West Colfax,$85.00 ,39.74401,-105.03052
2232323,Country Club,$200.00 ,39.72203,-104.96623
2232930,Speer,$120.00 ,39.71757,-104.98132
2239191,Clayton,$169.00 ,39.76664,-104.95477
2243316,City Park West,$67.00 ,39.74176,-104.96718
2257217,Five Points,$42.00 ,39.75065,-104.97726
2267500,West Highland,$100.00 ,39.76485,-105.03541
2299068,Clayton,$60.00 ,39.76492,-104.94855
2332802,Five Points,$70.00 ,39.75017,-104.97516
2338715,Washington Park West,$51.00 ,39.70624,-104.9816
2359615,CBD,$95.00 ,39.74502,-104.99793
2360382,Villa Park,$72.00 ,39.73447,-105.02558
2361919,Berkeley,$70.00 ,39.78009,-105.03965
2372041,Sunnyside,$195.00 ,39.7758,-105.01271
2386289,West Highland,$150.00 ,39.76631,-105.0336
2413516,Capitol Hill,$85.00 ,39.7314,-104.98195
2441525,Berkeley,$125.00 ,39.77026,-105.0377
2466830,Cory - Merrill,$300.00 ,39.68889,-104.95642
2467260,City Park,$88.00 ,39.74322,-104.95004
2487185,Athmar Park,$199.00 ,39.70434,-105.0102
2599115,Stapleton,$187.00 ,39.75642,-104.85848
2653512,Highland,$139.00 ,39.76336,-105.01881
2723629,Five Points,$70.00 ,39.75436,-104.98299
2817786,Five Points,$74.00 ,39.74744,-104.97724
2822651,Washington Virginia Vale,$120.00 ,39.70044,-104.93019
2827887,Highland,$150.00 ,39.76647,-105.00288
2875696,Windsor,$75.00 ,39.70726,-104.89081
2908978,Congress Park,$78.00 ,39.73261,-104.94861
2915068,Washington Park West,$170.00 ,39.69452,-104.97672
2942068,Highland,$106.00 ,39.76661,-105.00212
2953770,CBD,$225.00 ,39.74368,-104.99673
2957097,Athmar Park,$199.00 ,39.70519,-105.0113
2968873,North Capitol Hill,$159.00 ,39.74559,-104.98726
2978155,Capitol Hill,$147.00 ,39.73182,-104.97872
2998222,Gateway - Green Valley Ranch,$245.00 ,39.78091,-104.74517
