D_CLASS,D_CLASS_N
070,DRY FARM LAND
223,COMMERCIAL-HOTEL
28T,COMMERCIAL-MISC IMPS
053,VACANT LAND
052,VACANT LAND
441,INDUSTRIAL-WAREHOUSE
22M,HOTEL W/MIXED USE
099,VACANT LAND /GENERAL COMMON EL
241,COMMERCIAL-RETAIL
234,COMMERCIAL-MOTEL
214,RESIDENTIAL-MULTI UNIT APTS
010,VACANT LAND
193,RESIDENTIAL-ROWHOUSE
113,SFR Grade C
222,COMMERCIAL-HOTEL
302,COMMERCIAL-OFFICE
536,INDUSTRIAL-CONV STORE W/PUMPS
257,COMMERCIAL-RESTAURANT
573,INDUSTRIAL-AUTO SERVICE GARAGE
253,COMMERCIAL-RESTAURANT
020,VACANT LAND
252,COMMERCIAL-RESTAURANT
303,COMMERCIAL-OFFICE
281,COMMERCIAL-MISC IMPS
212,RESIDENTIAL-MULTI UNIT APTS
443,INDUSTRIAL-WAREHOUSE
23M,MOTEL W/MIXED USE
051,VACANT LAND
103,RESIDENTIAL-CONDOMINIUM
107,RESIDENTIAL-CONDOMINIUM
190,RESIDENTIAL-ROWHOUSE
197,RESIDENTIAL-ROWHOUSE
034,RESIDENTIAL  LAND FOR LAND/ IM
445,INDUSTRIAL-WAREHOUSE
249,COMMERCIAL-RETAIL
311,COMMERCIAL-FINANCIAL OFFICE
339,INDUSTRIAL-MISC RECREATION
117,"SFR Grade C, D, or E, w/RK"
114,SFR Grade B
332,INDUSTRIAL-SCHOOL
391,DENVER PARK
246,COMMERCIAL-RETAIL
322,COMMERCIAL-MEDICAL OFFICE
301,COMMERCIAL-OFFICE
247,COMMERCIAL-RETAIL
264,COMMERCIAL-SHOPPING CENTER
263,COMMERCIAL-SHOPPING CENTER
262,COMMERCIAL-SHOPPING CENTER
055,VACANT LAND
321,COMMERCIAL-MEDICAL OFFICE
269,COMMERCIAL-SHOPPING CENTER
260,COMMERCIAL-SHOPPING CENTER
209,RESIDENTIAL-MISC IMPS
534,INDUSTRIAL-SERVICE STATION
224,COMMERCIAL-HOTEL
542,INDUSTRIAL-CAR WASH
572,INDUSTRIAL-AUTO SERVICE GARAGE
333,INDUSTRIAL-CHURCH
242,COMMERCIAL-RETAIL
194,RESIDENTIAL-ROWHOUSE
118,SFR Grade B w/RK
